Date,Identifier,Portfolio_manager,Tickers,Type_Description,Quantity,Value
05/01/2021,576,,BOND,Dividend Reinvested,0,4.37
05/01/2021,577,,JPIB,Dividend Reinvested,0,6.04
05/01/2021,578,,HTRB,Dividend Reinvested,0,2.54
05/01/2021,579,,HTRB,Long Term Gain to Cash,0,2.25
05/01/2021,580,,HTRB,Short Term Gain to Cash,0,1.74
05/01/2021,581,,UN:008FBAB2/25,Contribution,1769.623,-36029.52
05/01/2021,582,,TRSGX,Contribution,0.104,-4.28
05/01/2021,585,,SCHH,Dividend Reinvested,0,0.47
05/01/2021,586,,FNDA,Dividend Reinvested,0,0.66
05/01/2021,587,,FI:MMDA12/7463,Interest Reinvested,0,0.14
05/01/2021,588,,DFAI,Sell,-7,187.13
05/01/2021,589,,UN:008F8486/8371,Management Fee,0,-500
05/01/2021,590,,UN:008FBEDC/4739,Interest Reinvested,0,500
05/01/2021,591,,UN:008FBEDC/4739,Remark,0,-500
05/01/2021,592,,UN:008F8486/8371,Remark,0,500
05/01/2021,593,,UN:008F8486/12491,Management Fee,0,-500
05/01/2021,594,,UN:008F8486/12491,Management Fee,0,-500
